DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION,GROUP_L1_NAME,GROUP_L2_NAME,GROUP_L3_NAME,GROUP_L3_CODE
2290,Benign neoplasm of lymph nodes,Benign neo lymph nodes,Neoplasms,Benign Neoplasms,Benign neoplasm of other and unspecified sites,229
2298,Benign neoplasm of other specified sites,Benign neoplasm NEC,Neoplasms,Benign Neoplasms,Benign neoplasm of other and unspecified sites,229
2299,Benign neoplasm of unspecified site,Benign neoplasm NOS,Neoplasms,Benign Neoplasms,Benign neoplasm of other and unspecified sites,229
2300,"Carcinoma in situ of lip, oral cavity, and pharynx",Ca in situ oral cav/phar,Neoplasms,Carcinoma In Situ,Carcinoma in situ of digestive organs,230
2301,Carcinoma in situ of esophagus,Ca in situ esophagus,Neoplasms,Carcinoma In Situ,Carcinoma in situ of digestive organs,230
2302,Carcinoma in situ of stomach,Ca in situ stomach,Neoplasms,Carcinoma In Situ,Carcinoma in situ of digestive organs,230
2303,Carcinoma in situ of colon,Ca in situ colon,Neoplasms,Carcinoma In Situ,Carcinoma in situ of digestive organs,230
2304,Carcinoma in situ of rectum,Ca in situ rectum,Neoplasms,Carcinoma In Situ,Carcinoma in situ of digestive organs,230
2305,Carcinoma in situ of anal canal,Ca in situ anal canal,Neoplasms,Carcinoma In Situ,Carcinoma in situ of digestive organs,230
2306,"Carcinoma in situ of anus, unspecified",Ca in situ anus NOS,Neoplasms,Carcinoma In Situ,Carcinoma in situ of digestive organs,230
2307,Carcinoma in situ of other and unspecified parts of intestine,Ca in situ bowel NEC/NOS,Neoplasms,Carcinoma In Situ,Carcinoma in situ of digestive organs,230
2308,Carcinoma in situ of liver and biliary system,Ca in situ liver/biliary,Neoplasms,Carcinoma In Situ,Carcinoma in situ of digestive organs,230
2309,Carcinoma in situ of other and unspecified digestive organs,Ca in situ GI NEC/NOS,Neoplasms,Carcinoma In Situ,Carcinoma in situ of digestive organs,230
2310,Carcinoma in situ of larynx,Ca in situ larynx,Neoplasms,Carcinoma In Situ,Carcinoma in situ of respiratory system,231
2311,Carcinoma in situ of trachea,Ca in situ trachea,Neoplasms,Carcinoma In Situ,Carcinoma in situ of respiratory system,231
2312,Carcinoma in situ of bronchus and lung,Ca in situ bronchus/lung,Neoplasms,Carcinoma In Situ,Carcinoma in situ of respiratory system,231
2318,Carcinoma in situ of other specified parts of respiratory system,Ca in situ resp sys NEC,Neoplasms,Carcinoma In Situ,Carcinoma in situ of respiratory system,231
2319,"Carcinoma in situ of respiratory system, part unspecified",Ca in situ resp sys NOS,Neoplasms,Carcinoma In Situ,Carcinoma in situ of respiratory system,231
2320,Carcinoma in situ of skin of lip,Ca in situ skin lip,Neoplasms,Carcinoma In Situ,Carcinoma in situ of skin,232
2321,"Carcinoma in situ of eyelid, including canthus",Ca in situ eyelid,Neoplasms,Carcinoma In Situ,Carcinoma in situ of skin,232
2322,Carcinoma in situ of skin of ear and external auditory canal,Ca in situ skin ear,Neoplasms,Carcinoma In Situ,Carcinoma in situ of skin,232
2323,Carcinoma in situ of skin of other and unspecified parts of face,Ca in situ skin face NEC,Neoplasms,Carcinoma In Situ,Carcinoma in situ of skin,232
2324,Carcinoma in situ of scalp and skin of neck,Ca in situ scalp,Neoplasms,Carcinoma In Situ,Carcinoma in situ of skin,232
2325,"Carcinoma in situ of skin of trunk, except scrotum",Ca in situ skin trunk,Neoplasms,Carcinoma In Situ,Carcinoma in situ of skin,232
2326,"Carcinoma in situ of skin of upper limb, including shoulder",Ca in situ skin arm,Neoplasms,Carcinoma In Situ,Carcinoma in situ of skin,232
2327,"Carcinoma in situ of skin of lower limb, including hip",Ca in situ skin leg,Neoplasms,Carcinoma In Situ,Carcinoma in situ of skin,232
2328,Carcinoma in situ of other specified sites of skin,Ca in situ skin NEC,Neoplasms,Carcinoma In Situ,Carcinoma in situ of skin,232
2329,"Carcinoma in situ of skin, site unspecified",Ca in situ skin NOS,Neoplasms,Carcinoma In Situ,Carcinoma in situ of skin,232
2330,Carcinoma in situ of breast,Ca in situ breast,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
2331,Carcinoma in situ of cervix uteri,Ca in situ cervix uteri,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
2332,Carcinoma in situ of other and unspecified parts of uterus,Ca in situ uterus NEC,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
23330,"Carcinoma in situ, unspecified female genital organ",Ca in situ fem gen NOS,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
23331,"Carcinoma in situ, vagina",Carcinoma in situ vagina,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
23332,"Carcinoma in situ, vulva",Carcinoma in situ vulva,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
23339,"Carcinoma in situ, other female genital organ",Ca in situ fem gen NEC,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
2334,Carcinoma in situ of prostate,Ca in situ prostate,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
2335,Carcinoma in situ of penis,Ca in situ penis,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
2336,Carcinoma in situ of other and unspecified male genital organs,Ca in situ male gen NEC,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
2337,Carcinoma in situ of bladder,Ca in situ bladder,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
2339,Carcinoma in situ of other and unspecified urinary organs,Ca in situ urinary NEC,Neoplasms,Carcinoma In Situ,Carcinoma in situ of breast and genitourinary system,233
2340,Carcinoma in situ of eye,Ca in situ eye,Neoplasms,Carcinoma In Situ,Carcinoma in situ of other and unspecified sites,234
2348,Carcinoma in situ of other specified sites,Ca in situ NEC,Neoplasms,Carcinoma In Situ,Carcinoma in situ of other and unspecified sites,234
2349,"Carcinoma in situ, site unspecified",Ca in situ NOS,Neoplasms,Carcinoma In Situ,Carcinoma in situ of other and unspecified sites,234
2350,Neoplasm of uncertain behavior of major salivary glands,Unc behav neo salivary,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of digestive and respiratory systems,235
2351,"Neoplasm of uncertain behavior of lip, oral cavity, and pharynx",Unc behav neo oral/phar,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of digestive and respiratory systems,235
2352,"Neoplasm of uncertain behavior of stomach, intestines, and rectum",Unc behav neo intestine,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of digestive and respiratory systems,235
2353,Neoplasm of uncertain behavior of liver and biliary passages,Unc behav neo liver,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of digestive and respiratory systems,235
2354,Neoplasm of uncertain behavior of retroperitoneum and peritoneum,Unc behav neo peritoneum,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of digestive and respiratory systems,235
2355,Neoplasm of uncertain behavior of other and unspecified digestive organs,Unc behav neo GI NEC,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of digestive and respiratory systems,235
2356,Neoplasm of uncertain behavior of larynx,Unc behav neo larynx,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of digestive and respiratory systems,235
2357,"Neoplasm of uncertain behavior of trachea, bronchus, and lung",Unc behav neo lung,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of digestive and respiratory systems,235
2358,"Neoplasm of uncertain behavior of pleura, thymus, and mediastinum",Unc behav neo pleura,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of digestive and respiratory systems,235
2359,Neoplasm of uncertain behavior of other and unspecified respiratory organs,Unc behav neo resp NEC,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of digestive and respiratory systems,235
2360,Neoplasm of uncertain behavior of uterus,Uncert behav neo uterus,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of genitourinary organs,236
2361,Neoplasm of uncertain behavior of placenta,Unc behav neo placenta,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of genitourinary organs,236
2362,Neoplasm of uncertain behavior of ovary,Unc behav neo ovary,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of genitourinary organs,236
2363,Neoplasm of uncertain behavior of other and unspecified female genital organs,Unc behav neo female NEC,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of genitourinary organs,236
2364,Neoplasm of uncertain behavior of testis,Unc behav neo testis,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of genitourinary organs,236
2365,Neoplasm of uncertain behavior of prostate,Unc behav neo prostate,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of genitourinary organs,236
2366,Neoplasm of uncertain behavior of other and unspecified male genital organs,Unc behav neo male NEC,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of genitourinary organs,236
2367,Neoplasm of uncertain behavior of bladder,Unc behav neo bladder,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of genitourinary organs,236
23690,"Neoplasm of uncertain behavior of urinary organ, unspecified",Unc behav neo urinar NOS,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of genitourinary organs,236
23691,Neoplasm of uncertain behavior of kidney and ureter,Unc behav neo kidney,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of genitourinary organs,236
23699,Neoplasm of uncertain behavior of other and unspecified urinary organs,Unc behav neo urinar NEC,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of genitourinary organs,236
2370,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,Unc behav neo pituitary,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
2371,Neoplasm of uncertain behavior of pineal gland,Unc behav neo pineal,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
2372,Neoplasm of uncertain behavior of adrenal gland,Unc behav neo adrenal,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
2373,Neoplasm of uncertain behavior of paraganglia,Unc behav neo paragang,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
2374,Neoplasm of uncertain behavior of other and unspecified endocrine glands,Uncer neo endocrine NEC,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
2375,Neoplasm of uncertain behavior of brain and spinal cord,Unc beh neo brain/spinal,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
2376,Neoplasm of uncertain behavior of meninges,Unc behav neo meninges,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
23770,"Neurofibromatosis, unspecified",Neurofibromatosis NOS,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
23771,"Neurofibromatosis, type 1 [von recklinghausen's disease]",Neurofibromatosis type I,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
23772,"Neurofibromatosis, type 2 [acoustic neurofibromatosis]",Neurofibromatosis typ II,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
23773,Schwannomatosis,Schwannomatosis,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
23779,Other neurofibromatosis,Neurofibromatosis NEC,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
2379,Neoplasm of uncertain behavior of other and unspecified parts of nervous system,Unc beh neo nerv sys NEC,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of endocrine glands and nervous system,237
2380,Neoplasm of uncertain behavior of bone and articular cartilage,Unc behav neo bone,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
2381,Neoplasm of uncertain behavior of connective and other soft tissue,Unc behav neo soft tissu,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
2382,Neoplasm of uncertain behavior of skin,Unc behav neo skin,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
2383,Neoplasm of uncertain behavior of breast,Unc behav neo breast,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
2384,Polycythemia vera,Polycythemia vera,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
2385,Neoplasm of uncertain behavior of histiocytic and mast cells,Mastocytoma NOS,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
2386,Neoplasm of uncertain behavior of plasma cells,Plasmacytoma NOS,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
23871,Essential thrombocythemia,Essntial thrombocythemia,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
23872,Low grade myelodysplastic syndrome lesions,Low grde myelody syn les,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
23873,High grade myelodysplastic syndrome lesions,Hi grde myelodys syn les,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
23874,Myelodysplastic syndrome with 5q deletion,Myelodyspls syn w 5q del,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
23875,"Myelodysplastic syndrome, unspecified",Myelodysplastic synd NOS,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
23876,Myelofibrosis with myeloid metaplasia,Myelofi w myelo metaplas,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
23877,Post-transplant lymphoproliferative disorder (PTLD),Post tp lymphprolif dis,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
23879,Other lymphatic and hematopoietic tissues,Lymph/hematpoitc tis NEC,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
2388,Neoplasm of uncertain behavior of other specified sites,Uncert behavior neo NEC,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
2389,"Neoplasm of uncertain behavior, site unspecified",Uncert behavior neo NOS,Neoplasms,Neoplasms Of Uncertain Behavior,Neoplasm of uncertain behavior of other and unspecified sites and tissues,238
2390,Neoplasm of unspecified nature of digestive system,Digestive neoplasm NOS,Neoplasms,Neoplasms Of Unspecified Nature,Neoplasms of unspecified nature,239
2391,Neoplasm of unspecified nature of respiratory system,Respiratory neoplasm NOS,Neoplasms,Neoplasms Of Unspecified Nature,Neoplasms of unspecified nature,239
2392,"Neoplasm of unspecified nature of bone, soft tissue, and skin",Bone/skin neoplasm NOS,Neoplasms,Neoplasms Of Unspecified Nature,Neoplasms of unspecified nature,239
2393,Neoplasm of unspecified nature of breast,Breast neoplasm NOS,Neoplasms,Neoplasms Of Unspecified Nature,Neoplasms of unspecified nature,239
2394,Neoplasm of unspecified nature of bladder,Bladder neoplasm NOS,Neoplasms,Neoplasms Of Unspecified Nature,Neoplasms of unspecified nature,239
2395,Neoplasm of unspecified nature of other genitourinary organs,Other gu neoplasm NOS,Neoplasms,Neoplasms Of Unspecified Nature,Neoplasms of unspecified nature,239
2396,Neoplasm of unspecified nature of brain,Brain neoplasm NOS,Neoplasms,Neoplasms Of Unspecified Nature,Neoplasms of unspecified nature,239
2397,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,Endocrine/nerv neo NOS,Neoplasms,Neoplasms Of Unspecified Nature,Neoplasms of unspecified nature,239
23981,"Neoplasms of unspecified nature, retina and choroid",Neo retina/choroid NOS,Neoplasms,Neoplasms Of Unspecified Nature,Neoplasms of unspecified nature,239
23989,"Neoplasms of unspecified nature, other specified sites",Neoplasm other sites NOS,Neoplasms,Neoplasms Of Unspecified Nature,Neoplasms of unspecified nature,239
2399,"Neoplasm of unspecified nature, site unspecified",Neoplasm NOS,Neoplasms,Neoplasms Of Unspecified Nature,Neoplasms of unspecified nature,239
2400,"Goiter, specified as simple",Simple goiter,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Simple and unspecified goiter,240
2409,"Goiter, unspecified",Goiter NOS,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Simple and unspecified goiter,240
2410,Nontoxic uninodular goiter,Nontox uninodular goiter,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Nontoxic nodular goiter,241
2411,Nontoxic multinodular goiter,Nontox multinodul goiter,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Nontoxic nodular goiter,241
2419,Unspecified nontoxic nodular goiter,Nontox nodul goiter NOS,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Nontoxic nodular goiter,241
24200,Toxic diffuse goiter without mention of thyrotoxic crisis or storm,Tox dif goiter no crisis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24201,Toxic diffuse goiter with mention of thyrotoxic crisis or storm,Tox dif goiter w crisis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24210,Toxic uninodular goiter without mention of thyrotoxic crisis or storm,Tox uninod goit no cris,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24211,Toxic uninodular goiter with mention of thyrotoxic crisis or storm,Tox uninod goit w crisis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24220,Toxic multinodular goiter without mention of thyrotoxic crisis or storm,Tox multnod goit no cris,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24221,Toxic multinodular goiter with mention of thyrotoxic crisis or storm,Tox multnod goit w cris,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24230,"Toxic nodular goiter, unspecified type, without mention of thyrotoxic crisis or storm",Tox nod goiter no crisis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24231,"Toxic nodular goiter, unspecified type, with mention of thyrotoxic crisis or storm",Tox nod goiter w crisis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24240,Thyrotoxicosis from ectopic thyroid nodule without mention of thyrotoxic crisis or storm,Thyrotox-ect nod no cris,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24241,Thyrotoxicosis from ectopic thyroid nodule with mention of thyrotoxic crisis or storm,Thyrotox-ect nod w cris,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24280,Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm,Thyrtox orig NEC no cris,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24281,Thyrotoxicosis of other specified origin with mention of thyrotoxic crisis or storm,Thyrotox orig NEC w cris,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24290,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",Thyrotox NOS no crisis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
24291,"Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm",Thyrotox NOS w crisis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyrotoxicosis with or without goiter,242
243,Congenital hypothyroidism,Congenital hypothyroidsm,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Congenital hypothyroidism,243
2440,Postsurgical hypothyroidism,Postsurgical hypothyroid,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Acquired hypothyroidism,244
2441,Other postablative hypothyroidism,Postablat hypothyr NEC,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Acquired hypothyroidism,244
2442,Iodine hypothyroidism,Iodine hypothyroidism,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Acquired hypothyroidism,244
2443,Other iatrogenic hypothyroidism,Iatrogen hypothyroid NEC,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Acquired hypothyroidism,244
2448,Other specified acquired hypothyroidism,Acquired hypothyroid NEC,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Acquired hypothyroidism,244
2449,Unspecified acquired hypothyroidism,Hypothyroidism NOS,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Acquired hypothyroidism,244
2450,Acute thyroiditis,Acute thyroiditis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyroiditis,245
2451,Subacute thyroiditis,Subacute thyroiditis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyroiditis,245
2452,Chronic lymphocytic thyroiditis,Chr lymphocyt thyroidit,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyroiditis,245
2453,Chronic fibrous thyroiditis,Chr fibrous thyroiditis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyroiditis,245
2454,Iatrogenic thyroiditis,Iatrogenic thyroiditis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyroiditis,245
2458,Other and unspecified chronic thyroiditis,Chr thyroiditis NEC/NOS,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyroiditis,245
2459,"Thyroiditis, unspecified",Thyroiditis NOS,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Thyroiditis,245
2460,Disorders of thyrocalcitonin secretion,Dis thyrocalciton secret,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Other disorders of thyroid,246
2461,Dyshormonogenic goiter,Dyshormonogenic goiter,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Other disorders of thyroid,246
2462,Cyst of thyroid,Cyst of thyroid,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Other disorders of thyroid,246
2463,Hemorrhage and infarction of thyroid,Hemorr/infarc thyroid,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Other disorders of thyroid,246
2468,Other specified disorders of thyroid,Disorders of thyroid NEC,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Other disorders of thyroid,246
2469,Unspecified disorder of thyroid,Disorder of thyroid NOS,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Disorders Of Thyroid Gland,Other disorders of thyroid,246
24900,"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",Sec DM wo cmp nt st uncn,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24901,"Secondary diabetes mellitus without mention of complication, uncontrolled",Sec DM wo comp uncontrld,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24910,"Secondary diabetes mellitus with ketoacidosis, not stated as uncontrolled, or unspecified",Sec DM keto nt st uncntr,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24911,"Secondary diabetes mellitus with ketoacidosis, uncontrolled",Sec DM ketoacd uncntrld,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24920,"Secondary diabetes mellitus with hyperosmolarity, not stated as uncontrolled, or unspecified",Sec DM hpros nt st uncnr,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24921,"Secondary diabetes mellitus with hyperosmolarity, uncontrolled",Sec DM hprosmlr uncntrld,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24930,"Secondary diabetes mellitus with other coma, not stated as uncontrolled, or unspecified",Sec DM ot cma nt st uncn,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24931,"Secondary diabetes mellitus with other coma, uncontrolled",Sec DM oth coma uncntrld,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24940,"Secondary diabetes mellitus with renal manifestations, not stated as uncontrolled, or unspecified",Sec DM renl nt st uncntr,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24941,"Secondary diabetes mellitus with renal manifestations, uncontrolled",Sec DM renal uncontrld,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24950,"Secondary diabetes mellitus with ophthalmic manifestations, not stated as uncontrolled, or unspecified",Sec DM ophth nt st uncn,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24951,"Secondary diabetes mellitus with ophthalmic manifestations, uncontrolled",Sec DM ophth uncontrld,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
24960,"Secondary diabetes mellitus with neurological manifestations, not stated as uncontrolled, or unspecified",Sec DM neuro nt st uncn,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders",Diseases Of Other Endocrine Glands,Secondary diabetes mellitus,249
